date, time, cloud cover
01/07/2024,15:00:00,100
01/07/2024,18:00:00,100
01/07/2024,21:00:00,100
02/07/2024,00:00:00,84
02/07/2024,03:00:00,54
02/07/2024,06:00:00,66
02/07/2024,09:00:00,100
02/07/2024,15:00:00,87
02/07/2024,18:00:00,79
02/07/2024,21:00:00,84
03/07/2024,00:00:00,50
03/07/2024,03:00:00,100
03/07/2024,06:00:00,79
03/07/2024,09:00:00,96
03/07/2024,15:00:00,100
03/07/2024,18:00:00,100
03/07/2024,21:00:00,54
04/07/2024,00:00:00,33
04/07/2024,03:00:00,19
04/07/2024,06:00:00,2
04/07/2024,09:00:00,13
04/07/2024,15:00:00,48
04/07/2024,18:00:00,46
04/07/2024,21:00:00,35
05/07/2024,00:00:00,45
05/07/2024,03:00:00,100
05/07/2024,06:00:00,100
05/07/2024,09:00:00,100
05/07/2024,15:00:00,100
05/07/2024,18:00:00,96
05/07/2024,21:00:00,100
06/07/2024,00:00:00,100
06/07/2024,03:00:00,100
06/07/2024,06:00:00,100
06/07/2024,09:00:00,100
06/07/2024,15:00:00,83
06/07/2024,18:00:00,86
06/07/2024,21:00:00,7
07/07/2024,00:00:00,12
07/07/2024,03:00:00,64
07/07/2024,06:00:00,29
07/07/2024,09:00:00,61
07/07/2024,15:00:00,79
07/07/2024,18:00:00,76
07/07/2024,21:00:00,21
08/07/2024,00:00:00,19
08/07/2024,03:00:00,18
08/07/2024,06:00:00,47
08/07/2024,09:00:00,48
08/07/2024,15:00:00,87
08/07/2024,18:00:00,51
08/07/2024,21:00:00,96
09/07/2024,00:00:00,100
09/07/2024,03:00:00,100
09/07/2024,06:00:00,100
09/07/2024,09:00:00,100
09/07/2024,15:00:00,90
09/07/2024,18:00:00,100
09/07/2024,21:00:00,100
10/07/2024,00:00:00,76
10/07/2024,03:00:00,95
10/07/2024,06:00:00,58
10/07/2024,09:00:00,25
10/07/2024,15:00:00,64
10/07/2024,18:00:00,13
10/07/2024,21:00:00,3
11/07/2024,00:00:00,88
11/07/2024,03:00:00,34
11/07/2024,06:00:00,11
11/07/2024,09:00:00,18
11/07/2024,15:00:00,70
11/07/2024,18:00:00,86
11/07/2024,21:00:00,79
12/07/2024,00:00:00,100
12/07/2024,03:00:00,100
12/07/2024,06:00:00,72
12/07/2024,09:00:00,100
12/07/2024,15:00:00,79
12/07/2024,18:00:00,78
12/07/2024,21:00:00,36
13/07/2024,00:00:00,100
13/07/2024,03:00:00,100
13/07/2024,06:00:00,33
13/07/2024,09:00:00,45
13/07/2024,15:00:00,86
13/07/2024,18:00:00,52
13/07/2024,21:00:00,47
14/07/2024,00:00:00,29
14/07/2024,03:00:00,19
14/07/2024,06:00:00,20
14/07/2024,09:00:00,35
14/07/2024,15:00:00,52
14/07/2024,18:00:00,66
14/07/2024,21:00:00,39
15/07/2024,00:00:00,13
15/07/2024,03:00:00,18
15/07/2024,06:00:00,14
15/07/2024,09:00:00,9
15/07/2024,15:00:00,100
15/07/2024,18:00:00,100
15/07/2024,21:00:00,88
16/07/2024,00:00:00,68
16/07/2024,03:00:00,100
16/07/2024,06:00:00,100
16/07/2024,09:00:00,100
16/07/2024,15:00:00,89
16/07/2024,18:00:00,72
16/07/2024,21:00:00,86
17/07/2024,00:00:00,27
17/07/2024,03:00:00,12
17/07/2024,06:00:00,27
17/07/2024,09:00:00,13
17/07/2024,15:00:00,59
17/07/2024,18:00:00,75
17/07/2024,21:00:00,19
18/07/2024,00:00:00,52
18/07/2024,03:00:00,77
18/07/2024,06:00:00,19
18/07/2024,09:00:00,4
18/07/2024,15:00:00,39
18/07/2024,18:00:00,86
18/07/2024,21:00:00,18
19/07/2024,00:00:00,23
19/07/2024,03:00:00,43
19/07/2024,06:00:00,31
19/07/2024,09:00:00,27
19/07/2024,15:00:00,45
19/07/2024,18:00:00,71
19/07/2024,21:00:00,10
20/07/2024,00:00:00,9
20/07/2024,03:00:00,31
20/07/2024,06:00:00,40
20/07/2024,09:00:00,94
20/07/2024,15:00:00,88
20/07/2024,18:00:00,83
20/07/2024,21:00:00,50
21/07/2024,00:00:00,43
21/07/2024,03:00:00,52
21/07/2024,06:00:00,92
21/07/2024,09:00:00,96
21/07/2024,15:00:00,59
21/07/2024,18:00:00,30
21/07/2024,21:00:00,12
22/07/2024,00:00:00,29
22/07/2024,03:00:00,44
22/07/2024,06:00:00,87
22/07/2024,09:00:00,100
22/07/2024,15:00:00,None
22/07/2024,18:00:00,None
22/07/2024,21:00:00,None
23/07/2024,00:00:00,None
23/07/2024,03:00:00,None
23/07/2024,06:00:00,None
23/07/2024,09:00:00,None
23/07/2024,15:00:00,78
23/07/2024,18:00:00,72
23/07/2024,21:00:00,34
24/07/2024,00:00:00,18
24/07/2024,03:00:00,40
24/07/2024,06:00:00,75
24/07/2024,09:00:00,74
24/07/2024,15:00:00,77
24/07/2024,18:00:00,82
